,p,target,word
93,0.02188157754511773,0,have
94,0.9691471032023847,1,perfect
95,0.030852896797615322,0,perfect
96,0.9917280121654237,1,experience
97,0.008271987834576333,0,experience
98,0.9562197380291131,1,purchase
99,0.04378026197088684,0,purchase
100,0.9752368563639635,1,order
101,0.024763143636036464,0,order
102,0.9845529340589461,1,certificates
103,0.01544706594105402,0,certificates
104,0.9792559776761459,1,win
105,0.020744022323854167,0,win
106,0.9683981224135135,1,value
107,0.031601877586486554,0,value
108,0.9908369089778521,1,throughout
109,0.009163091022147867,0,throughout
110,0.978260962765815,1,month
111,0.02173903723418504,0,month
112,0.9692722138962634,1,any
113,0.030727786103736568,0,any
114,0.9967578607189005,1,sized
115,0.0032421392810994872,0,sized
116,0.9764025434083057,1,be
117,0.023597456591694304,0,be
118,0.9827766800761433,1,a
119,0.017223319923856666,0,a
120,0.9822326672437306,1,to
121,0.01776733275626944,0,to
122,0.9784556169874475,1,this
123,0.021544383012552477,0,this
124,0.9915888553727483,1,winning
125,0.008411144627251765,0,winning
126,0.9841821358552738,1,conditioner
127,0.015817864144726308,0,conditioner
128,0.9845065690044008,1,against
129,0.015493430995599177,0,against
130,0.9658504225770588,1,while
131,0.034149577422941356,0,while
132,0.9779210269711945,1,flexibility
133,0.022078973028805522,0,flexibility
134,0.979894976177822,1,that
135,0.02010502382217806,0,that
136,0.9774139398922158,1,miss
137,0.022586060107784096,0,miss
138,0.9888248105354149,1,chance
139,0.011175189464585048,0,chance
140,0.9843385322822653,1,full
141,0.015661467717734634,0,full
142,1.0,1,revitalash
143,0.0,0,revitalash
144,0.9879649820768632,1,score
145,0.01203501792313676,0,score
146,0.9692162274008095,1,complimentary
147,0.030783772599190514,0,complimentary
148,0.9774637939893275,1,product
149,0.02253620601067256,0,product
150,0.9850377851342148,1,two
151,0.014962214865785238,0,two
152,0.9990442423058672,1,oribe
153,0.00095575769413281,0,oribe
154,0.9752364583856589,1,receive
155,0.024763541614341193,0,receive
156,0.9580236391079794,1,choice
157,0.041976360892020545,0,choice
158,0.9029101302314483,1,beach
159,0.0970898697685517,0,beach
160,0.9710169240381321,1,spray
161,0.028983075961867905,0,spray
162,1.0,1,superfine
163,0.0,0,superfine
164,0.9781040399603271,1,will
165,0.021895960039672896,0,will
166,0.979460468009755,1,run
167,0.020539531990245045,0,run
168,0.6971900629034004,1,supplies
169,0.30280993709659965,0,supplies
170,0.9686773200091019,1,sure
171,0.031322679990898106,0,sure
172,0.9790783158113315,1,not
173,0.02092168418866851,0,not
174,0.9777192538184514,1,find
175,0.02228074618154855,0,find
176,0.987342851767057,1,enjoy
177,0.012657148232942911,0,enjoy
178,0.9951311277512734,1,healing
179,0.004868872248726665,0,healing
180,0.9870010139572638,1,beautiful
181,0.012998986042736301,0,beautiful
182,0.9986624505774748,1,sanctuary
183,0.0013375494225251897,0,sanctuary
184,0.9893052207174388,1,soothe
185,0.010694779282561245,0,soothe
186,0.9802082164247776,1,body
187,0.019791783575222308,0,body
188,0.9998087021936932,1,prelude
189,0.00019129780630676075,0,prelude
190,0.9959980573246532,1,appointments
191,0.00400194267534679,0,appointments
192,0.9977092467012082,1,memberships
193,0.002290753298791791,0,memberships
194,0.9767983051217577,1,care
195,0.02320169487824226,0,care
196,0.9756172468791501,1,get
197,0.024382753120849896,0,get
198,0.9857599602077016,1,monthly
199,0.014240039792298355,0,monthly
200,0.9527841963206037,1,massage
201,0.0472158036793962,0,massage
202,0.948710256872184,1,off
203,0.05128974312781601,0,off
204,0.9878962947348111,1,services
205,0.012103705265188879,0,services
206,0.9762248855792829,1,purchased
207,0.023775114420717135,0,purchased
208,0.9929703921150828,1,hydrotherapy
209,0.007029607884917217,0,hydrotherapy
210,0.9824246517255412,1,passes
211,0.017575348274458856,0,passes
212,0.9080082585518683,1,spa
213,0.09199174144813171,0,spa
214,0.9978997418783392,1,uniquely
